date,amount,type
2025-01-01,27,White Bread,Bakery
2025-01-01,27,Whole Milk,Dairy
2025-01-01,13,Whole Milk,Dairy
2025-01-01,12,White Bread,Bakery
2025-01-02,28,Ground Beef,Meat
2025-01-02,13,Brown Rice,Grain
2025-01-02,10,American Cheese,Dairy
2025-01-03,30,Whole Milk,Dairy
2025-01-03,25,White Bread,Bakery
2025-01-04,11,Brown Rice,Grain
2025-01-04,16,Brown Rice,Grain
2025-01-05,24,Ground Beef,Meat
2025-01-05,12,Brown Rice,Grain
2025-01-05,20,American Cheese,Dairy
2025-01-05,25,Ground Beef,Meat
2025-01-06,26,Ground Beef,Meat
2025-01-06,29,Ground Beef,Meat
2025-01-06,16,Brown Rice,Grain
2025-01-06,19,Ground Beef,Meat
2025-01-06,15,American Cheese,Dairy
2025-01-07,23,White Bread,Bakery
2025-01-08,21,Brown Rice,Grain
2025-01-09,22,Whole Milk,Dairy
2025-01-09,15,White Bread,Bakery
2025-01-10,21,Ground Beef,Meat
2025-01-10,20,Whole Milk,Dairy
2025-01-11,22,White Bread,Bakery
2025-01-12,12,Brown Rice,Grain
2025-01-12,25,White Bread,Bakery
2025-01-13,30,Brown Rice,Grain
2025-01-13,25,Ground Beef,Meat
2025-01-14,10,Whole Milk,Dairy
2025-01-14,16,Whole Milk,Dairy
2025-01-15,16,American Cheese,Dairy
2025-01-16,13,White Bread,Bakery
2025-01-17,10,Ground Beef,Meat
2025-01-17,28,Brown Rice,Grain
2025-01-17,27,American Cheese,Dairy
2025-01-17,28,Brown Rice,Grain
2025-01-17,18,American Cheese,Dairy
2025-01-18,12,Brown Rice,Grain
2025-01-18,19,American Cheese,Dairy
2025-01-19,25,Brown Rice,Grain
2025-01-20,16,American Cheese,Dairy
2025-01-20,10,American Cheese,Dairy
2025-01-20,25,Ground Beef,Meat
2025-01-20,15,Ground Beef,Meat
2025-01-21,25,American Cheese,Dairy
2025-01-21,25,American Cheese,Dairy
2025-01-21,24,Brown Rice,Grain
2025-01-22,27,White Bread,Bakery
2025-01-22,15,White Bread,Bakery
2025-01-22,25,Brown Rice,Grain
2025-01-23,18,White Bread,Bakery
2025-01-23,12,Whole Milk,Dairy
2025-01-24,12,Ground Beef,Meat
2025-01-25,12,American Cheese,Dairy
2025-01-25,30,Brown Rice,Grain
2025-01-25,13,American Cheese,Dairy
2025-01-25,20,Ground Beef,Meat
2025-01-26,21,White Bread,Bakery
2025-01-26,16,American Cheese,Dairy
2025-01-27,19,Whole Milk,Dairy
2025-01-28,15,Brown Rice,Grain
2025-01-28,20,Whole Milk,Dairy
2025-01-28,10,White Bread,Bakery
2025-01-29,10,White Bread,Bakery
2025-01-30,20,Ground Beef,Meat
2025-01-31,24,Brown Rice,Grain
2025-01-31,16,White Bread,Bakery
2025-01-31,30,American Cheese,Dairy
2025-01-31,20,Ground Beef,Meat
2025-01-31,13,White Bread,Bakery
