date,amount,type
2025-01-01,20,Whole Milk,Dairy
2025-01-01,17,Whole Milk,Dairy
2025-01-01,13,Whole Milk,Dairy
2025-01-02,28,Brown Rice,Grain
2025-01-03,29,American Cheese,Dairy
2025-01-03,30,White Bread,Bakery
2025-01-04,22,Whole Milk,Dairy
2025-01-04,21,Brown Rice,Grain
2025-01-04,27,Whole Milk,Dairy
2025-01-05,18,White Bread,Bakery
2025-01-05,25,Ground Beef,Meat
2025-01-05,20,American Cheese,Dairy
2025-01-05,10,Brown Rice,Grain
2025-01-06,23,Ground Beef,Meat
2025-01-06,12,White Bread,Bakery
2025-01-06,21,Brown Rice,Grain
2025-01-07,18,White Bread,Bakery
2025-01-08,23,White Bread,Bakery
2025-01-08,16,Whole Milk,Dairy
2025-01-08,16,Brown Rice,Grain
2025-01-09,16,Whole Milk,Dairy
2025-01-09,10,White Bread,Bakery
2025-01-09,11,White Bread,Bakery
2025-01-09,15,Whole Milk,Dairy
2025-01-10,20,Whole Milk,Dairy
2025-01-10,28,American Cheese,Dairy
2025-01-11,22,White Bread,Bakery
2025-01-11,12,American Cheese,Dairy
2025-01-11,17,White Bread,Bakery
2025-01-11,18,Brown Rice,Grain
2025-01-11,12,Whole Milk,Dairy
2025-01-12,29,Ground Beef,Meat
2025-01-12,18,Ground Beef,Meat
2025-01-12,24,White Bread,Bakery
2025-01-12,24,Whole Milk,Dairy
2025-01-12,21,Brown Rice,Grain
2025-01-13,21,American Cheese,Dairy
2025-01-13,21,Whole Milk,Dairy
2025-01-13,11,Whole Milk,Dairy
2025-01-14,26,Brown Rice,Grain
2025-01-14,30,White Bread,Bakery
2025-01-14,30,Brown Rice,Grain
2025-01-14,10,Ground Beef,Meat
2025-01-15,21,Whole Milk,Dairy
2025-01-15,18,White Bread,Bakery
2025-01-15,18,Ground Beef,Meat
2025-01-16,27,Brown Rice,Grain
2025-01-16,28,American Cheese,Dairy
2025-01-17,14,Whole Milk,Dairy
2025-01-17,16,White Bread,Bakery
2025-01-17,30,American Cheese,Dairy
2025-01-17,19,American Cheese,Dairy
2025-01-17,19,Whole Milk,Dairy
2025-01-18,17,Whole Milk,Dairy
2025-01-18,15,White Bread,Bakery
2025-01-19,14,American Cheese,Dairy
2025-01-19,19,Brown Rice,Grain
2025-01-19,12,Whole Milk,Dairy
2025-01-20,15,Brown Rice,Grain
2025-01-20,27,White Bread,Bakery
2025-01-21,29,American Cheese,Dairy
2025-01-21,24,American Cheese,Dairy
2025-01-21,19,American Cheese,Dairy
2025-01-21,14,American Cheese,Dairy
2025-01-21,30,Brown Rice,Grain
2025-01-22,19,Whole Milk,Dairy
2025-01-23,20,American Cheese,Dairy
2025-01-23,30,Ground Beef,Meat
2025-01-23,16,American Cheese,Dairy
2025-01-24,30,Brown Rice,Grain
2025-01-24,28,American Cheese,Dairy
2025-01-24,16,White Bread,Bakery
2025-01-24,22,American Cheese,Dairy
2025-01-25,12,Brown Rice,Grain
2025-01-25,24,American Cheese,Dairy
2025-01-25,16,Brown Rice,Grain
2025-01-25,28,American Cheese,Dairy
2025-01-25,24,Ground Beef,Meat
2025-01-26,24,Whole Milk,Dairy
2025-01-26,15,Ground Beef,Meat
2025-01-26,14,White Bread,Bakery
2025-01-27,22,Ground Beef,Meat
2025-01-27,29,Whole Milk,Dairy
2025-01-27,20,American Cheese,Dairy
2025-01-28,10,American Cheese,Dairy
2025-01-28,29,Brown Rice,Grain
2025-01-28,30,Brown Rice,Grain
2025-01-28,25,Whole Milk,Dairy
2025-01-29,25,Brown Rice,Grain
2025-01-29,19,Brown Rice,Grain
2025-01-29,21,White Bread,Bakery
2025-01-29,18,Whole Milk,Dairy
2025-01-29,22,Whole Milk,Dairy
2025-01-30,27,Whole Milk,Dairy
2025-01-30,28,Whole Milk,Dairy
2025-01-30,11,American Cheese,Dairy
2025-01-30,13,Ground Beef,Meat
2025-01-31,10,American Cheese,Dairy
2025-01-31,25,Ground Beef,Meat
